,Sentense,Class,emoji
0,never talk to me again,3,😃
1,I am proud of your achievements,2,😂
2,It is the worst day in my life,3,😔
3,Miss you so much,0,😀
4,food is life,4,😄
5,I love you mum,0,😀
6,Stop saying bullshit,3,🤬
7,congratulations on your acceptance,2,😄
8,The assignment is too long ,3,😃
9,I want to go play,1,😁
10,she did not answer my text ,3,😃
11,Your stupidity has no limit,3,😃
12,how many points did he score,1,😁
13,my algorithm performs poorly,3,😃
14,I got approved,2,😂
15,Stop shouting at me,3,😃
16,Sounds like a fun plan ha ha,2,😂
17,no one likes him,3,😃
18,the game just finished,1,😁
19,I will celebrate soon,2,😂
20,So sad you are not coming,3,😃
21,She is my dearest love,0,😀
22,Good job,2,😂
23,It was funny lol,2,😂
24,candy is life ,2,😂
25,The chicago cubs won again,1,😁
26,I am hungry,4,😄
27,I am so excited to see you after so long,2,😂
28,you did well on you exam,2,😂
29,lets brunch some day,4,😄
30,he is so cute,0,😀
31,How dare you ask that,3,😃
32,do you want to join me for dinner ,4,😄
33,I said yes,2,😂
34,she is attractive,0,😀
35,you suck,3,😃
36,she smiles a lot,2,😂
37,he is laughing,2,😂
38,she takes forever to get ready ,3,😃
39,French macaroon is so tasty,4,😄
40,we made it,2,😂
41,I am excited,2,😂
42,I adore my dogs,0,😀
43,Congratulations,2,😂
44,this girl was mean,3,😃
45,you two are cute,0,😀
46,my code is working but the grader gave me zero,3,😃
47,this joke is killing me haha,2,😂
48,do you like pizza ,4,😄
49,you got a down grade,3,😃
50,I missed you,0,😀
51,I think I will end up alone,3,😃
52,I got humiliated by my sister,3,😃
53,you are awful,3,😃
54,I cooked meat,4,😄
55,This is so funny,2,😂
56,lets exercise,1,😁
57,he is the best player,1,😁
58,I am going to the stadium,1,😁
59,You are incredibly intelligent and talented,2,😂
60,Stop shouting at me,3,😃
61,Who is your favorite player,1,😁
62,I like you a lot,0,😀
63,i miss him,0,😀
64,my dog just had a few puppies,0,😀
65,I hate him,3,😃
66,I want chinese food,4,😄
67,cookies are good,4,😄
68,her smile is so charming,2,😂
69,Bravo for the announcement it got a lot of traction,2,😂
70,she plays baseball,1,😁
71,he did an amazing job,2,😂
72,The baby is adorable,0,😀
73,I was waiting for her for two hours ,3,😃
74,funny,2,😂
75,I like it when people smile,2,😂
76,I love dogs,0,😀
77,they are so kind and friendly,0,😀
78,So bad that you cannot come with us,3,😃
79,he likes baseball,1,😁
80,I am so impressed by your dedication to this project,2,😂
81,I am at the baseball game,1,😁
82,Bravo,2,😂
83,What a fun moment,2,😂
84,I want to have sushi for dinner,4,😄
85,I am very disappointed,3,😃
86,he can not do anything,3,😃
87,lol,2,😂
88,Lets have food together,4,😄
89,she is so cute,0,😀
90,miss you my dear,0,😀
91,I am looking for a date,0,😀
92,I am frustrated,3,😃
93,I lost my wallet,3,😃
94,you failed the midterm,3,😃
95,ha ha ha it was so funny,2,😂
96,Do you want to give me a hug,0,😀
97,who is playing in the final,1,😁
98,she is happy,2,😂
99,You are not qualified for this position,3,😃
100,I love my dad,0,😀
101,this guy was such a joke,2,😂
102,Good joke,2,😂
103,This specialization is great,2,😂
104,you could not solve it,3,😃
105,I am so happy for you,2,😂
106,Congrats on the new job,2,😂
107,I am proud of you forever,2,😂
108,I want to eat,4,😄
109,That catcher sucks ,1,😁
110,The first base man got the ball,1,😁
111,this is bad,3,😃
112,you did not do your homework,3,😃
113,I will have a cheese cake,4,😄
114,do you have a ball,1,😁
115,the lectures are great though ,2,😂
116,Are you down for baseball this afternoon,1,😁
117,what are the rules of the game,1,😁
118,I am always working,3,😃
119,where is the stadium,1,😁
120,She is the cutest person I have ever seen,0,😀
121,vegetables are healthy,4,😄
122,he is handsome,0,😀
123,too bad that you were not here,3,😃
124,you are a loser,3,😃
125,I love indian food,4,😄
126,Who is down for a restaurant,4,😄
127,he had to make a home run,1,😁
128,I am ordering food,4,😄
129,What is wrong with you,3,😃
130,I love you,0,😀
131,great job,2,😂
